"round_num","validation/validation_time_in_seconds","sparse_categorical_accuracy","validation/sparse_categorical_accuracy","train_step_time_in_seconds","train_steps_per_hour","validation/loss","loss"
203,17.627465963363647,0.75444495677948,0.7882890701293945,3.1232941150665283,1152.629200892058,0.6760741472244263,0.8539189696311951
204,17.616405487060547,0.7644110321998596,0.7889730930328369,2.7606334686279297,1304.0485239749144,0.6710483431816101,0.7982542514801025
205,17.67122721672058,0.801327645778656,0.791580080986023,3.0361487865448,1185.7126422637787,0.6633943319320679,0.6572601199150085
206,17.67055916786194,0.837162435054779,0.7938128113746643,3.247912645339966,1108.4041946649031,0.6595844626426697,0.5589675903320312
207,17.655985116958618,0.7806167602539062,0.7942000031471252,3.2214479446411133,1117.5099091663453,0.6540215611457825,0.7636973261833191
208,17.742624044418335,0.8342465758323669,0.7936063408851624,3.2086784839630127,1121.9572225739705,0.6548792123794556,0.5523479580879211
209,17.823896169662476,0.7880377769470215,0.7952324748039246,3.072392463684082,1171.7253061099061,0.6514868140220642,0.7166687250137329
210,17.705652475357056,0.7815904021263123,0.7988075017929077,2.869433879852295,1254.6028766431486,0.6394670009613037,0.7624250650405884
211,18.244014024734497,0.7519280314445496,0.8020468950271606,2.504600763320923,1437.3548282508127,0.634911835193634,0.8594653606414795
212,17.624101638793945,0.7693498730659485,0.800085186958313,2.981579303741455,1207.4138009619653,0.6407020092010498,0.8222666382789612
213,17.719885110855103,0.7443438768386841,0.7911154627799988,2.754288673400879,1307.0525376538956,0.6655016541481018,1.1006386280059814
214,18.606913328170776,0.7931442260742188,0.7801195383071899,2.733412742614746,1317.034908001595,0.6962850093841553,0.6930503249168396
215,18.06758213043213,0.7981395125389099,0.783926784992218,3.400667667388916,1058.6156461340236,0.6808185577392578,0.6810115575790405
216,17.62050223350525,0.771828293800354,0.7963166236877441,2.887399435043335,1246.7966698019286,0.6446071863174438,0.8103282451629639
217,17.6984441280365,0.7737789154052734,0.7990397810935974,3.100513219833374,1161.0980972348407,0.631657600402832,0.7727596759796143
218,17.788703203201294,0.8044664859771729,0.786959707736969,2.831477403640747,1271.4210593279245,0.6645229458808899,0.675874650478363
219,17.585745096206665,0.7762676477432251,0.7841203808784485,2.9913930892944336,1203.4526698893712,0.6749929189682007,0.771960973739624
220,17.656936407089233,0.7783553600311279,0.7813326716423035,3.022827386856079,1190.9379991902929,0.6866738200187683,0.7185536623001099
221,17.54355001449585,0.801694929599762,0.7797452211380005,3.8974311351776123,923.6853391730145,0.6938037276268005,0.7131486535072327
222,17.64069414138794,0.7436723709106445,0.7799517512321472,3.2195496559143066,1118.168807673709,0.6920616626739502,0.8727304935455322
223,17.619808673858643,0.8099173307418823,0.7867274284362793,2.900369167327881,1241.221304016513,0.6675462126731873,0.687006950378418
224,17.621012926101685,0.8001722693443298,0.7920705080032349,3.142460584640503,1145.5990944153207,0.6533752083778381,0.7018481492996216
225,17.6307053565979,0.7730535864830017,0.8006530404090881,2.9010045528411865,1240.949448519214,0.6277291774749756,0.7302746176719666
226,17.55219793319702,0.7875311970710754,0.8064478635787964,3.1041159629821777,1159.7504870731111,0.61456298828125,0.746635913848877
227,17.634754180908203,0.7989617586135864,0.806964099407196,2.9643163681030273,1214.4452726898949,0.6145013570785522,0.6775160431861877
228,17.623758554458618,0.8147186040878296,0.8065252900123596,3.23836612701416,1111.6717069046401,0.6150021553039551,0.627399206161499
229,17.78724956512451,0.8286455869674683,0.8053895831108093,3.3636252880096436,1070.27379441847,0.6108512878417969,0.5643112659454346
230,17.64481830596924,0.7798395156860352,0.803014874458313,2.865773916244507,1256.2051666370355,0.6156078577041626,0.7355886101722717
231,17.55117702484131,0.7887768149375916,0.8024728298187256,3.1039319038391113,1159.8192587754017,0.6163371801376343,0.7013331055641174
232,17.57120370864868,0.7905223369598389,0.8030277490615845,2.7883541584014893,1291.0842007472293,0.6155039072036743,0.7024492025375366
233,17.712015867233276,0.8283548951148987,0.80142742395401,3.2129175662994385,1120.4769265669004,0.6191689968109131,0.6061492562294006
234,17.81606411933899,0.8110843300819397,0.7993624210357666,2.8530235290527344,1261.8192466135313,0.6271265745162964,0.634067952632904
235,17.6410071849823,0.7770143747329712,0.8000077605247498,2.6925082206726074,1337.0432715338916,0.6231496334075928,0.728572428226471
236,17.586578130722046,0.7754886150360107,0.802627682685852,2.8584725856781006,1259.41386250727,0.6181015372276306,0.770169734954834
237,17.623579740524292,0.7936660051345825,0.804524838924408,2.859581232070923,1258.9255935887027,0.6116713285446167,0.673913836479187
238,17.705181121826172,0.8186628222465515,0.805905818939209,3.0565788745880127,1177.7873719961615,0.6067977547645569,0.6351439356803894
239,17.638460874557495,0.8152534365653992,0.8064091205596924,3.050844669342041,1180.0010784476917,0.6047587990760803,0.6028890609741211
240,17.716655492782593,0.8133267760276794,0.8052217960357666,2.9894425868988037,1204.2378789199554,0.6092382073402405,0.6407865881919861
241,17.64269757270813,0.8253812193870544,0.8009886145591736,3.6474735736846924,986.9845325193859,0.6229051351547241,0.5980855226516724
242,17.654097318649292,0.7630544900894165,0.7953099608421326,2.7263295650482178,1320.4566484376332,0.6446545124053955,0.8588283061981201
243,17.601566791534424,0.8197863698005676,0.7931546568870544,3.0938117504119873,1163.6131382333156,0.6557728052139282,0.6330365538597107
244,17.583918571472168,0.7744107842445374,0.7936192750930786,3.046178102493286,1181.8087711461824,0.651403546333313,0.7846762537956238
245,17.616281509399414,0.7880123257637024,0.7928965091705322,3.1788814067840576,1132.4738294159802,0.6557765603065491,0.7260180711746216
246,17.776584148406982,0.8208255171775818,0.7905476093292236,3.1230058670043945,1152.7355865818915,0.6587857604026794,0.6119396090507507
247,17.636054277420044,0.8122270703315735,0.7926512956619263,2.6981799602508545,1334.2327246642592,0.6481186151504517,0.6646465063095093
248,17.571585416793823,0.7509373426437378,0.7979685664176941,3.0767414569854736,1170.0690650579409,0.624241828918457,0.8342583179473877
249,17.568821668624878,0.768664538860321,0.8034407496452332,2.7645628452301025,1302.195031019583,0.608871340751648,0.7853772640228271
250,17.85108780860901,0.8061981797218323,0.8023953437805176,3.0623905658721924,1175.5522107855934,0.6096156239509583,0.6601940989494324
251,17.668381929397583,0.8007566332817078,0.8027438521385193,3.905332326889038,921.8165571245346,0.6051627397537231,0.6272867918014526
252,17.629759073257446,0.808920681476593,0.800046443939209,2.654623508453369,1356.1245082536861,0.6099362969398499,0.6622231602668762
253,17.65341567993164,0.7796143293380737,0.7993108034133911,2.8181676864624023,1277.4257604660206,0.6137785315513611,0.7577002644538879
254,17.617565631866455,0.7491917014122009,0.8004594445228577,3.2472925186157227,1108.6158636348018,0.6132662892341614,1.0652352571487427
255,17.54872488975525,0.7850678563117981,0.8034923672676086,2.7274069786071777,1319.935025552525,0.6064003705978394,0.8070329427719116
256,17.763216018676758,0.8043117523193359,0.8068608641624451,2.6137256622314453,1377.3442454272463,0.6053998470306396,0.7026383280754089
257,17.671830654144287,0.771960973739624,0.8077126741409302,3.2331063747406006,1113.4802207950354,0.607220470905304,0.7982175946235657
258,17.669784545898438,0.8228305578231812,0.8072351217269897,2.9556972980499268,1217.986700591824,0.6096333265304565,0.6036617159843445
259,17.67208218574524,0.8120805621147156,0.8075965046882629,2.637728452682495,1364.8106939662048,0.6101928353309631,0.6553515791893005
260,17.647766828536987,0.7826747894287109,0.8081385493278503,3.5392987728118896,1017.1506366329975,0.609625518321991,0.7595343589782715
261,17.669954538345337,0.8141197562217712,0.8096743822097778,3.297708034515381,1091.6672920466845,0.6042048931121826,0.597832202911377
262,17.85171604156494,0.7749360799789429,0.8094291687011719,3.2821524143218994,1096.8412022217954,0.6009485125541687,0.7832115292549133
263,17.73650550842285,0.8054173588752747,0.8068350553512573,3.0289058685302734,1188.5479959622648,0.6024882793426514,0.643354058265686
264,17.61254048347473,0.7913625240325928,0.8058412671089172,2.708009719848633,1329.3896154114343,0.6033509373664856,0.6736170053482056
265,17.621085166931152,0.8044316172599792,0.8050669431686401,3.1290557384490967,1150.5068304677516,0.6044703722000122,0.6514423489570618
266,17.654905080795288,0.8212805390357971,0.8043957948684692,3.298400640487671,1091.438061165225,0.6062131524085999,0.5858353972434998
267,17.72612166404724,0.7942359447479248,0.8078029751777649,2.441040277481079,1474.7810731393815,0.5910534858703613,0.6787906885147095
268,17.697407722473145,0.7734495401382446,0.8096098303794861,3.0407047271728516,1183.9360684479097,0.5875564217567444,0.7313705682754517
269,17.624318838119507,0.8151102662086487,0.8079707622528076,2.9847776889801025,1206.1199778098444,0.5936211347579956,0.6259657740592957
270,18.5880446434021,0.7898089289665222,0.7956326007843018,3.1361083984375,1147.919504884979,0.627182126045227,0.6993783116340637
271,18.60738444328308,0.8113120198249817,0.8001238703727722,3.1798455715179443,1132.1304506877323,0.6191902756690979,0.6387775540351868
272,18.24945855140686,0.8291298747062683,0.8044990301132202,3.0948686599731445,1163.2157598672504,0.6099572777748108,0.6033401489257812
273,17.816883087158203,0.7940090298652649,0.8096098303794861,3.2204582691192627,1117.8533299189544,0.5936108827590942,0.7416411638259888
274,19.225719213485718,0.8479690551757812,0.7942000031471252,3.406493663787842,1056.8051361049618,0.6407759189605713,0.5191567540168762
275,18.448528289794922,0.7734042406082153,0.7905346751213074,3.297860860824585,1091.616703046674,0.6578211188316345,0.8164860606193542
276,18.105290174484253,0.7908217906951904,0.7918511033058167,2.818328380584717,1277.3529248047064,0.6490476131439209,0.710996687412262
277,18.11428713798523,0.7929465174674988,0.7994140386581421,2.8910176753997803,1245.2362469565942,0.619438648223877,0.7192156910896301
278,18.010157585144043,0.8204121589660645,0.8024728298187256,2.956840991973877,1217.5155883498403,0.6078279614448547,0.572943925857544
279,17.943174839019775,0.8253234624862671,0.8038666248321533,3.0404434204101562,1184.03782021846,0.6026343107223511,0.5807573795318604
280,18.268133878707886,0.824839174747467,0.8060348629951477,3.7686495780944824,955.2493341183089,0.5936360955238342,0.566453218460083
281,24.94781517982483,0.7935447692871094,0.8108746409416199,3.334001302719116,1079.7836212793147,0.5803151726722717,0.6756221055984497
282,27.758122205734253,0.8431611061096191,0.8103712797164917,4.766153335571289,755.3260977006503,0.583048939704895,0.5556827783584595
283,30.473195791244507,0.778294563293457,0.7953357696533203,6.029516696929932,597.0627798133511,0.6238621473312378,0.7689918875694275
284,34.01253938674927,0.7947639226913452,0.790031373500824,6.004920721054077,599.5083311221587,0.642873227596283,0.6917861104011536
