"validation/eval/mean_squared_error","round_num","eval/loss","mean_squared_error","stat/num_examples","eval/mean_squared_error","round_time_in_seconds","validation/eval/loss","validation/eval/mean_absolute_error","validation/stat/num_examples","mean_absolute_error","eval/mean_absolute_error","loss","validation/validation_time_in_seconds"
0.029122525826096535,40.0,"",0.02888777293264866,"","",21.629289627075195,0.029122525826096535,0.038612160831689835,77483.0,0.03832700848579407,"",0.02888777293264866,8.566291570663452
0.029122525826096535,41.0,"",0.02914387732744217,"","",21.32721710205078,0.029122525826096535,0.038612160831689835,77483.0,0.0386623740196228,"",0.02914387732744217,8.678618907928467
0.029122525826096535,42.0,"",0.028234148398041725,"","",21.740206480026245,0.029122525826096535,0.038612160831689835,77483.0,0.03758195787668228,"",0.028234148398041725,8.634044170379639
0.029122525826096535,43.0,"",0.029183538630604744,"","",21.404083967208862,0.029122525826096535,0.038612160831689835,77483.0,0.038792066276073456,"",0.029183538630604744,8.63624620437622
0.029122525826096535,44.0,"",0.028460238128900528,"","",20.674983501434326,0.029122525826096535,0.038612160831689835,77483.0,0.037898845970630646,"",0.028460238128900528,8.611380338668823
0.029122525826096535,45.0,"",0.02803041972219944,"","",21.93133783340454,0.029122525826096535,0.038612160831689835,77483.0,0.03755643591284752,"",0.02803041972219944,8.670662879943848
0.029122525826096535,46.0,"",0.028842147439718246,"","",23.009082078933716,0.029122525826096535,0.038612160831689835,77483.0,0.03813470900058746,"",0.028842147439718246,8.57258915901184
0.029122525826096535,47.0,"",0.029336636886000633,"","",22.013795852661133,0.029122525826096535,0.038612160831689835,77483.0,0.03865797072649002,"",0.029336636886000633,8.74227786064148
0.029122525826096535,48.0,"",0.029567671939730644,"","",21.066910982131958,0.029122525826096535,0.038612160831689835,77483.0,0.03907615691423416,"",0.029567671939730644,8.612017393112183
0.029122525826096535,49.0,"",0.029143914580345154,"","",21.921310901641846,0.029122525826096535,0.038612160831689835,77483.0,0.03854376822710037,"",0.029143914580345154,8.664409637451172
0.029122525826096535,50.0,"",0.029285425320267677,"","",21.492908477783203,0.029122525826096535,0.038612160831689835,77483.0,0.03882552310824394,"",0.02928542159497738,8.653263092041016
0.029122525826096535,51.0,"",0.028259359300136566,"","",20.9862802028656,0.029122525826096535,0.038612160831689835,77483.0,0.03759493678808212,"",0.028259359300136566,8.668673992156982
0.029122525826096535,52.0,"",0.028482772409915924,"","",23.976502180099487,0.029122525826096535,0.038612160831689835,77483.0,0.03789310157299042,"",0.028482772409915924,8.579640626907349
0.029122525826096535,53.0,"",0.029206493869423866,"","",20.643294095993042,0.029122525826096535,0.038612160831689835,77483.0,0.03867648169398308,"",0.029206493869423866,8.70215916633606
0.029122525826096535,54.0,"",0.029595648869872093,"","",20.90820550918579,0.029122525826096535,0.038612160831689835,77483.0,0.03919249400496483,"",0.029595648869872093,8.68929409980774
0.029122525826096535,55.0,"",0.0295689906924963,"","",20.577577352523804,0.029122525826096535,0.038612160831689835,77483.0,0.039138130843639374,"",0.0295689906924963,8.543628215789795
