"round_num","sparse_categorical_accuracy","validation/validation_time_in_seconds","loss","train_steps_per_hour","train_step_time_in_seconds","validation/sparse_categorical_accuracy","validation/loss"
28,0.06203756481409073,185.66649317741394,3.7596681118011475,119.93700475180906,30.015757083892822,0.05565091595053673,3.71738600730896
29,0.05722891539335251,191.01097464561462,3.8232040405273438,110.58419647066702,32.55438041687012,0.05565091595053673,3.71944260597229
30,0.04848736152052879,181.17830729484558,3.7846531867980957,85.42377582937284,42.142833948135376,0.05565091595053673,3.7215590476989746
31,0.0577281191945076,186.64276266098022,3.6991183757781982,112.92474963221197,31.879636764526367,0.05565091595053673,3.72218656539917
32,0.05117493495345116,189.16166472434998,3.7919681072235107,107.2759386186311,33.55831742286682,0.05565091595053673,3.722203493118286
33,0.07021791487932205,183.40829873085022,3.6952030658721924,114.88918684820507,31.33454155921936,0.05570254102349281,3.720571279525757
34,0.045146726071834564,191.10768246650696,3.739859104156494,113.97975348343037,31.584556818008423,0.05589613318443298,3.7176287174224854
35,0.05616898834705353,187.5494565963745,3.7658774852752686,103.23105634893177,34.87322640419006,0.05691571161150932,3.71201229095459
36,0.06209150329232216,185.81851196289062,3.717670440673828,122.75303931256256,29.327176094055176,0.06255565583705902,3.7074849605560303
37,0.061884667724370956,178.70851802825928,3.73179292678833,89.66254939673759,40.15054249763489,0.06720183789730072,3.703216791152954
38,0.04946131259202957,187.41154861450195,3.782559871673584,101.86932558737122,35.33939170837402,0.065046526491642,3.699327230453491
39,0.05381400138139725,190.52496075630188,3.735926866531372,110.4735352041158,32.58699011802673,0.059587262570858,3.6953608989715576
40,0.06214689090847969,196.74567294120789,3.7261762619018555,100.61975850129488,35.77826118469238,0.06316224485635757,3.690993070602417
41,0.05421970784664154,177.66409397125244,3.7898709774017334,116.95572519109986,30.78087878227234,0.0880967453122139,3.68745756149292
42,0.05822784826159477,172.53497910499573,3.68583345413208,110.84591996641916,32.47751474380493,0.10098989307880402,3.6835665702819824
43,0.05458860844373703,179.5689980983734,3.750396728515625,103.66509007610247,34.7272162437439,0.06837628781795502,3.6811156272888184
44,0.07308809459209442,178.46922135353088,3.720794200897217,96.12644195286832,37.45067358016968,0.054889459162950516,3.6798958778381348
45,0.06357811391353607,175.83081221580505,3.734572649002075,112.5859499482475,31.975570678710938,0.05352141708135605,3.6799895763397217
46,0.059468820691108704,171.38366627693176,3.71022367477417,124.12959244415792,29.00194811820984,0.05344397947192192,3.6796910762786865
47,0.06961651891469955,176.11138033866882,3.7084107398986816,107.61148782688377,33.45367741584778,0.05625750124454498,3.679337739944458
48,0.06889241933822632,169.11727643013,3.6570191383361816,98.54594247871302,36.53118443489075,0.07241588830947876,3.679014205932617
49,0.06557376682758331,178.33066082000732,3.6978354454040527,108.98369074468393,33.03246545791626,0.10052527487277985,3.6776087284088135
50,0.0573875792324543,177.85600876808167,3.739614248275757,108.91605028757506,33.052979707717896,0.09895073622465134,3.678262948989868
51,0.0696629211306572,178.9138481616974,3.6446759700775146,105.72569606947712,34.05037879943848,0.08829033374786377,3.677487373352051
52,0.06193896010518074,180.173015832901,3.7555787563323975,120.35859901151834,29.910617351531982,0.09474336355924606,3.678760290145874
53,0.07235529273748398,170.04105758666992,3.703913688659668,117.12052207654597,30.737567901611328,0.10456487536430359,3.6799447536468506
54,0.07344632595777512,178.50125980377197,3.6932737827301025,106.61098722601568,33.76762652397156,0.10989507287740707,3.6801979541778564
55,0.06145966798067093,168.32485818862915,3.680736541748047,97.5978925905691,36.88604235649109,0.1114179864525795,3.680756092071533
56,0.06636670231819153,175.1219403743744,3.7114858627319336,122.84387362417678,29.305490732192993,0.11294090002775192,3.678997039794922
57,0.06708760559558868,171.22224497795105,3.721785306930542,92.84305206876033,38.77511477470398,0.11557374149560928,3.678213357925415
58,0.062470193952322006,183.5775876045227,3.7170236110687256,118.45018758470404,30.39252257347107,0.11750964820384979,3.6756763458251953
59,0.07041513174772263,172.90924286842346,3.6614487171173096,130.34492199492968,27.619027614593506,0.11838725954294205,3.6710450649261475
60,0.07479752600193024,172.75169253349304,3.6446433067321777,108.929914598973,33.04877281188965,0.11932940036058426,3.665297508239746
61,0.08378378301858902,171.28312802314758,3.6344194412231445,146.15534729323673,24.6313259601593,0.12295600026845932,3.6587493419647217
62,0.07501320540904999,179.37571334838867,3.637209415435791,122.05038811261839,29.49601435661316,0.1345585435628891,3.6533541679382324
63,0.06448763608932495,181.3681037425995,3.748232841491699,129.28005056577496,27.846523761749268,0.14523185789585114,3.648238182067871
64,0.06959152966737747,178.03787899017334,3.6507740020751953,126.30227569022865,28.50304937362671,0.15639559924602509,3.64176607131958
65,0.08256880939006805,174.60326838493347,3.6321356296539307,115.75444712812954,31.100317001342773,0.16348102688789368,3.635411500930786
66,0.08346623927354813,170.06403875350952,3.62520170211792,90.93249457443041,39.589807987213135,0.16835951805114746,3.6283838748931885
67,0.08080288022756577,170.43561911582947,3.6334972381591797,101.05474367619901,35.624255418777466,0.17287662625312805,3.623020648956299
68,0.09137635678052902,166.57523894309998,3.6107873916625977,109.81967863184127,32.781010150909424,0.17792290449142456,3.6176140308380127
69,0.07806122303009033,172.87295532226562,3.6785812377929688,110.18583741015732,32.672075510025024,0.18281430006027222,3.6134390830993652
70,0.09652736783027649,170.70841765403748,3.5644431114196777,121.81602112124962,29.552762985229492,0.19704967737197876,3.608281373977661
71,0.08347062021493912,172.08153820037842,3.6148717403411865,95.68607387171696,37.623029708862305,0.2165636271238327,3.6025240421295166
72,0.08774834126234055,173.16888165473938,3.6072847843170166,130.3920327144012,27.60904884338379,0.24931921064853668,3.5971829891204834
73,0.10474205017089844,172.4073932170868,3.580017328262329,113.3901965410777,31.74877643585205,0.27040770649909973,3.5905468463897705
74,0.08484551310539246,172.49219250679016,3.62679386138916,104.33675310219618,34.50366139411926,0.2759315073490143,3.5841526985168457
75,0.09708737581968307,174.13039588928223,3.5593554973602295,103.53561555870134,34.77064371109009,0.27269208431243896,3.578632116317749
76,0.0974825918674469,176.2728133201599,3.576916456222534,117.42587303830109,30.657638788223267,0.26931068301200867,3.572993755340576
