"validation/loss","train_step_time_in_seconds","round_num","validation/sparse_categorical_accuracy","sparse_categorical_accuracy","train_steps_per_hour","validation/validation_time_in_seconds","loss"
0.7386812567710876,53.6130793094635,65,0.7700011730194092,0.8049251437187195,67.1477939034281,181.02904534339905,0.6773433089256287
0.748255729675293,56.35716414451599,66,0.7691364288330078,0.7902711033821106,63.878302867911586,171.44058203697205,0.7473108768463135
0.7350478768348694,56.35644173622131,67,0.7727501392364502,0.770972728729248,63.87912169561647,176.00507187843323,0.7915772795677185
0.7508095502853394,50.03296375274658,68,0.7696914076805115,0.8058252334594727,71.95256346976599,176.96662974357605,0.669365644454956
0.7429972290992737,50.80211591720581,69,0.7688267230987549,0.7831632494926453,70.8631901448172,178.1442482471466,0.7314033508300781
0.7388322353363037,51.65206217765808,70,0.7749441862106323,0.8269570469856262,69.69712046767354,175.1262800693512,0.5869354605674744
0.7225789427757263,52.837929487228394,71,0.7771898508071899,0.7940691709518433,68.1328741481092,165.99525141716003,0.7550873160362244
0.7175577282905579,51.02609920501709,72,0.7797452211380005,0.7911148071289062,70.55213030366298,178.06116151809692,0.6831586360931396
0.7165653109550476,47.315895318984985,73,0.7811648845672607,0.7873892784118652,76.0843681754351,173.4352159500122,0.7664040327072144
0.7523343563079834,57.552178382873535,74,0.7643999457359314,0.7815105319023132,62.55193289210566,173.40306997299194,0.7401211261749268
0.7233377695083618,47.71887969970703,75,0.7789579629898071,0.8246716260910034,75.44183817085927,173.99708580970764,0.5790194272994995
0.7205579280853271,57.53445243835449,76,0.7772285342216492,0.7986074090003967,62.571204685700856,173.59195256233215,0.6812490224838257
0.7134272456169128,51.74321746826172,77,0.7779254913330078,0.8104485869407654,69.57433604139847,182.09260487556458,0.5995399355888367
0.7176899909973145,53.117512464523315,78,0.7805970311164856,0.8104382157325745,67.77425811128498,175.25255727767944,0.6510332226753235
0.7189182043075562,55.91984176635742,79,0.778248131275177,0.7952595949172974,64.37786456981424,176.63597893714905,0.7205019593238831
0.7302321195602417,62.19670367240906,80,0.7717047333717346,0.7885183691978455,57.88088093801968,169.4424204826355,0.7527095675468445
0.7100034952163696,58.49567627906799,81,0.7786481976509094,0.8240512609481812,61.543010167543244,172.1523118019104,0.6316072344779968
0.7158798575401306,41.90190768241882,82,0.7780158519744873,0.8188325762748718,85.91494275833378,180.857360124588,0.6340798735618591
0.7175058126449585,51.51044487953186,83,0.7798484563827515,0.8187974095344543,69.888738263072,168.66723561286926,0.6398811936378479
0.6995013952255249,48.64873909950256,84,0.7804163694381714,0.7791060209274292,73.99986241445691,173.69490790367126,0.766745388507843
0.6897531747817993,53.65059232711792,85,0.7880309224128723,0.8071139454841614,67.10084351073165,168.76037549972534,0.6406302452087402
0.6932833194732666,60.06456279754639,86,0.7857207655906677,0.8183987140655518,59.935506600358686,175.6679811477661,0.6230286359786987
0.6831754446029663,46.95521807670593,87,0.788017988204956,0.8206713795661926,76.66879523632599,175.3955476284027,0.6003793478012085
0.6946918368339539,48.10109496116638,88,0.781139075756073,0.7894110679626465,74.84237111247468,172.53366208076477,0.7032380104064941
0.7026727199554443,50.653472661972046,89,0.7787514925003052,0.8363004922866821,71.0711390712347,177.3684046268463,0.5464227795600891
0.7381964921951294,65.27413392066956,90,0.7716918587684631,0.8276923298835754,55.15201479923478,164.02234315872192,0.5515525341033936
0.6778786778450012,52.69746017456055,91,0.7879793047904968,0.830161452293396,68.31448779647037,181.62822675704956,0.587108850479126
0.6903004050254822,50.82056760787964,92,0.7873081564903259,0.8475991487503052,70.8374614738035,174.42528700828552,0.523979902267456
0.726734459400177,58.26319909095764,93,0.7747118473052979,0.8257244825363159,61.788574197236535,177.82985615730286,0.5584763288497925
0.7035397291183472,56.37167835235596,94,0.7795387506484985,0.8130375742912292,63.86185590391499,176.0026659965515,0.624609112739563
0.7044292688369751,69.25794625282288,95,0.7787773013114929,0.8257322311401367,51.979595046875474,165.08629202842712,0.6062878966331482
0.7262870669364929,62.888166666030884,96,0.7773963212966919,0.8143724799156189,57.24447365619491,177.60731101036072,0.6419450640678406
