"loss","train_steps_per_hour","round_num","validation/sparse_categorical_accuracy","train_step_time_in_seconds","validation/validation_time_in_seconds","validation/loss","sparse_categorical_accuracy"
0.15053358674049377,14.708560239994775,794,0.8426364660263062,244.75543093681335,206.7246117591858,0.6487005949020386,0.9536943435668945
0.1596904993057251,16.33856559765068,795,0.8391776084899902,220.33757972717285,204.3791527748108,0.5763049721717834,0.9493975639343262
0.1389290690422058,13.785796460746726,796,0.8403649926185608,261.1383397579193,205.9065282344818,0.5673238635063171,0.9543801546096802
0.17059332132339478,14.68419505564769,797,0.8400294184684753,245.16154861450195,205.2905843257904,0.5818874835968018,0.9445299506187439
0.15108363330364227,14.546520959376876,798,0.8462501168251038,247.48185563087463,188.68877387046814,0.5548425912857056,0.9504401683807373
0.15911225974559784,16.223146987128626,799,0.8472310304641724,221.9051582813263,195.37856459617615,0.5853576064109802,0.9489578008651733
0.1379932016134262,16.508880094307916,800,0.8444949388504028,218.06445860862732,191.44249415397644,0.6586576700210571,0.9565367698669434
0.12949414551258087,14.859694402435235,801,0.8430881500244141,242.2660858631134,187.30364775657654,0.6499304175376892,0.9578524231910706
0.1592749059200287,17.111134678931315,802,0.8404166102409363,210.38932061195374,196.78668236732483,0.5652898550033569,0.9492849111557007
0.1348993331193924,14.43792219589355,803,0.8419008255004883,249.34335780143738,190.09550380706787,0.6261374950408936,0.9557842016220093
0.1740330159664154,16.736499555458145,804,0.8415136337280273,215.09874200820923,197.07238602638245,0.5673351883888245,0.9471468329429626
0.149478942155838,17.365574415237916,805,0.843436598777771,207.30670428276062,194.01435828208923,0.5601456761360168,0.9548161029815674
0.17247097194194794,13.348258730384588,806,0.8352670669555664,269.6980986595154,191.7615828514099,0.7876175045967102,0.9458745718002319
0.18644236028194427,15.925257777859443,807,0.8434107899665833,226.05599546432495,196.0007472038269,0.6089942455291748,0.9422999024391174
0.1531207412481308,16.658452524231166,808,0.8409973978996277,216.10650777816772,197.34279203414917,0.5571058988571167,0.951688289642334
0.1561851054430008,17.073681238356535,809,0.8367770910263062,210.8508381843567,188.90651392936707,0.7394797205924988,0.9498974084854126
0.15966027975082397,16.053055206065356,810,0.8306080102920532,224.25637698173523,195.32578086853027,0.7880645990371704,0.9489215612411499
0.180573970079422,16.532442153913824,811,0.8463920950889587,217.75367283821106,195.26580333709717,0.5941193103790283,0.9440765380859375
0.18274332582950592,14.246864333299746,812,0.8381063938140869,252.68718194961548,196.43646144866943,0.7064535021781921,0.9433220624923706
0.17627127468585968,15.09768809749833,813,0.8468954563140869,238.4471037387848,194.74097204208374,0.5939934253692627,0.9433194398880005
