"validation/sparse_categorical_accuracy","sparse_categorical_accuracy","train_steps_per_hour","round_num","loss","validation/loss","validation/validation_time_in_seconds","train_step_time_in_seconds"
0.7647225856781006,0.8427566885948181,31.16538584028245,37,0.5413079261779785,0.7783238291740417,178.52302241325378,115.51276850700378
0.7634061574935913,0.8372184038162231,33.95071805969584,38,0.5466911792755127,0.7841243147850037,178.1859028339386,106.03604888916016
0.7632125616073608,0.8623824715614319,31.49400108669205,39,0.45740917325019836,0.7931549549102783,174.2363839149475,114.30748319625854
0.7625930905342102,0.7927857637405396,31.083123058056746,40,0.7773436903953552,0.7768775820732117,177.19191193580627,115.81847786903381
0.7658066749572754,0.8529938459396362,31.11278197152629,41,0.5007442235946655,0.7778893113136292,176.85749197006226,115.70807147026062
0.7781965136528015,0.8449620008468628,31.41493267075982,42,0.5036035776138306,0.7600631713867188,183.4160099029541,114.59518432617188
0.7641159892082214,0.8769778609275818,28.89703928360226,43,0.4044932723045349,0.7953130602836609,173.87270641326904,124.58023691177368
0.7747893333435059,0.8605033755302429,29.634871186767427,44,0.4668784737586975,0.7399618625640869,171.7135558128357,121.47851014137268
0.7743763327598572,0.8591424226760864,32.11348993006441,45,0.47807422280311584,0.7579594254493713,178.86952304840088,112.10242199897766
0.7758992314338684,0.8385681509971619,33.80121867860492,46,0.566993236541748,0.7522279024124146,180.1109721660614,106.5050356388092
0.7816553115844727,0.8522713780403137,38.29230988996582,47,0.521705687046051,0.7163204550743103,171.83022379875183,94.0136547088623
0.778351366519928,0.8779014348983765,30.711378920048272,48,0.41381800174713135,0.7163751721382141,168.6122031211853,117.22039604187012
0.7779899835586548,0.8839139342308044,32.47878411019719,49,0.3863009512424469,0.7199409604072571,179.6316864490509,110.84158778190613
0.772143542766571,0.8587580323219299,29.30927242302841,50,0.4787391722202301,0.7728567719459534,182.8445689678192,122.8280234336853
0.7837589979171753,0.8684269785881042,33.22118030022946,51,0.45390382409095764,0.7253849506378174,175.6266393661499,108.36460256576538
0.7743892073631287,0.8710053563117981,30.330934796523053,52,0.4068865180015564,0.7854467630386353,167.35407519340515,118.69070386886597
0.7720919251441956,0.8755488991737366,30.351947988221703,53,0.42966416478157043,0.7654828429222107,177.8592553138733,118.60853219032288
0.7749570608139038,0.8790018558502197,31.56880396876891,54,0.38849374651908875,0.7681540250778198,180.55844569206238,114.03662943840027
0.7646451592445374,0.8765684962272644,29.975700288164667,55,0.4206385612487793,0.8273924589157104,179.44035053253174,120.09727764129639
0.7766348719596863,0.854893147945404,36.60647771906796,56,0.5015916228294373,0.7308338284492493,164.99326300621033,98.3432502746582
0.7677813172340393,0.8891870379447937,26.76791360959766,57,0.3544100224971771,0.7996246814727783,177.97661304473877,134.48937606811523
0.7725952863693237,0.8585598468780518,32.1882270239617,58,0.48881301283836365,0.7500189542770386,180.60459637641907,111.84213399887085
0.7836170792579651,0.863163411617279,33.437864927832386,59,0.4563855826854706,0.7137511968612671,177.33849596977234,107.6623764038086
0.7834492921829224,0.8805145025253296,29.35605418697034,60,0.4052548408508301,0.7408917546272278,177.03454089164734,122.63228487968445
0.7719241380691528,0.8726486563682556,33.413315835440486,61,0.4193389117717743,0.7352331876754761,180.24381279945374,107.74147701263428
0.7861208319664001,0.8656101226806641,37.15021684372733,62,0.45250046253204346,0.7079473733901978,177.78397035598755,96.9038758277893
0.779977560043335,0.8476148247718811,30.17306627391822,63,0.5246676206588745,0.7263882160186768,175.14043068885803,119.31170558929443
0.795322835445404,0.8523449301719666,32.47238551032524,64,0.47385480999946594,0.6684294939041138,176.0419886112213,110.86342883110046
0.7908315658569336,0.8845968246459961,29.635467830551825,65,0.3860141932964325,0.6932507753372192,181.2240993976593,121.47606444358826
0.7934256792068481,0.8731525540351868,34.41530304396705,66,0.4236457347869873,0.6874014735221863,185.4115390777588,104.60462880134583
0.7915672063827515,0.8664951324462891,33.64342716355965,67,0.46479031443595886,0.6898533701896667,172.59552717208862,107.00455641746521
0.7971684336662292,0.8863506317138672,35.85556886606859,68,0.379884272813797,0.6905264854431152,174.13412165641785,100.40281367301941
0.7905734181404114,0.8682653307914734,32.0975303745593,69,0.44042733311653137,0.6867232322692871,180.31484079360962,112.15816164016724
0.7960456013679504,0.8964096307754517,32.348822234529614,70,0.3283318281173706,0.6892504692077637,177.15658593177795,111.28689551353455
0.795426070690155,0.8707303404808044,31.731386758699962,71,0.43722280859947205,0.6805302500724792,174.7263765335083,113.45233750343323
